,﻿id,device,timestamp,BSSID,SSID,autoJoinStatus,blackListTimestamp,capabilities,distanceCm,distanceSdCm,frequency,isAutoJoinCandidate,level,numConnection,numIpConfigFailures,numUsage,seen,timestamp.1,tsf,untrusted,wifiSsid_octets_buf,wifiSsid_octets_count
302272,230ed249-18bd-4b88-99b8-92eb34b0cd33-11,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1456910661.6,00:27:22:4a:d6:1f,Jayabageshowri-home,0,0,[WPA2-PSK-CCMP][ESS],-1,-1,2412,0,-92,0,0,0,1456910661567,1456910661.6,100925882277,True,74,19
302464,230ed249-18bd-4b88-99b8-92eb34b0cd33-17,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1456911018.58,74:ea:3a:d0:d0:3e,The Power Of Wifi,0,0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP-preauth][ESS],-1,-1,2412,0,-85,0,0,0,1456911018560,1456911018.58,101282879320,True,84,17
302720,230ed249-18bd-4b88-99b8-92eb34b0cd33-25,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1456911559.57,c4:6e:1f:fb:85:1d,TP-LINK_FB851D,0,0,[WPA2-PSK-CCMP][WPS][ESS],-1,-1,2452,0,-90,0,0,0,1456911559533,1456911559.57,101823848720,True,84,14
314112,61af38a8-c98f-4187-b6a8-169754865862-77,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1460641644.92,74:ea:3a:da:db:53,suhana,0,0,[WPA2-PSK-CCMP][ESS],-1,-1,2412,0,-89,0,0,0,1460641644841,1460641644.92,28111330228,True,115,6
316992,6985c671-81d1-4f9a-89d6-8f054b5f31b8-18,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1450926587.74,38:2c:4a:45:9c:98,Niresh Syangden,0,0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-1,-1,2462,0,-89,0,0,0,1450926587708,1450926587.74,63649780701,True,78,15
317216,6985c671-81d1-4f9a-89d6-8f054b5f31b8-25,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1450926587.75,c8:3a:35:08:22:69,Karuna,0,0,[WPA2-PSK-CCMP+TKIP][ESS],-1,-1,2427,0,-89,0,0,0,1450926587709,1450926587.75,63718499389,True,75,6
319072,03563a7c-e04f-4c08-b25d-6e49ecc48039-18,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1447684679.24,6c:ad:ef:e8:71:e8,parbat,0,0,[WPA2-PSK-CCMP+TKIP][ESS],-1,-1,2437,0,-91,0,0,0,1447684679136,1447684679.24,127922028871,True,112,6
320640,7014313e-1010-4b74-9b41-d2980cec5660-10,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1448588597.43,10:fe:ed:3d:ea:24,dhapasi,0,0,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],-1,-1,2437,0,-71,0,0,0,1448588597356,1448588597.43,60281737472,True,100,7
321184,7014313e-1010-4b74-9b41-d2980cec5660-27,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1448589263.4,a0:f3:c1:f6:52:3a,TP-LINK_F6523A,0,0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],-1,-1,2462,0,-72,0,0,0,1448589263277,1448589263.4,60951375243,True,84,14
321376,7014313e-1010-4b74-9b41-d2980cec5660-33,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1448589263.43,e8:de:27:35:eb:92,Shrestha,0,0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],-1,-1,2437,0,-89,0,0,0,1448589263279,1448589263.43,60954122707,True,83,8
321408,7014313e-1010-4b74-9b41-d2980cec5660-34,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1448589263.43,c4:6e:1f:b8:a7:f4,Lee languge,0,0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],-1,-1,2427,0,-80,0,0,0,1448589263279,1448589263.43,60954122676,True,76,11
321440,7014313e-1010-4b74-9b41-d2980cec5660-35,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1448589263.43,c8:3a:35:3a:a9:21,Tenda_3AA920,0,0,[WPA2-PSK-CCMP+TKIP][ESS],-1,-1,2447,0,-81,0,0,0,1448589263279,1448589263.43,60954122676,True,84,12
321472,7014313e-1010-4b74-9b41-d2980cec5660-36,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1448589263.43,bc:96:80:14:b6:8f,Kripa Beauty Parlor,0,0,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],-1,-1,2412,0,-79,0,0,0,1448589263279,1448589263.43,60954122676,True,75,19
321504,7014313e-1010-4b74-9b41-d2980cec5660-37,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1448589263.43,f4:ec:38:aa:c3:42,Sirka,0,0,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],-1,-1,2462,0,-84,0,0,0,1448589263280,1448589263.43,60954122707,True,83,5
321536,7014313e-1010-4b74-9b41-d2980cec5660-38,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1448589263.44,64:70:02:3c:da:48,Paurakhi,0,0,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],-1,-1,2437,0,-86,0,0,0,1448589263280,1448589263.44,60954122707,True,80,8
321600,7014313e-1010-4b74-9b41-d2980cec5660-40,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1448589563.34,90:61:0c:1a:95:c2,MSM & TG,0,0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],-1,-1,2462,0,-81,0,0,0,1448589563301,1448589563.34,61253343265,True,77,8
321632,7014313e-1010-4b74-9b41-d2980cec5660-41,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1448589563.34,f8:1a:67:40:57:c4,URGN,0,0,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],-1,-1,2412,0,-85,0,0,0,1448589563302,1448589563.34,61253343234,True,85,4
321888,7014313e-1010-4b74-9b41-d2980cec5660-49,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1448590169.8,90:61:0c:1c:ce:c8,wlinkdhu,0,0,[WPA-PSK-TKIP][ESS],-1,-1,2412,0,-80,0,0,0,1448590169762,1448590169.8,61860625651,True,119,8
321984,7014313e-1010-4b74-9b41-d2980cec5660-52,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1448590169.81,f8:1a:67:cf:ec:f4,STAFF,0,0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP-preauth][ESS],-1,-1,2432,0,-89,0,0,0,1448590169768,1448590169.81,61860625681,True,83,5
323968,369927b9-5103-4f64-8d6c-a3bd356c1526-28,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1449452681.83,64:70:02:c5:24:89,broad link,0,0,[WPA2-PSK-CCMP+TKIP][WPS][ESS],-1,-1,2412,0,-88,0,0,0,1449452681804,1449452681.83,126259436408,True,98,10
324064,369927b9-5103-4f64-8d6c-a3bd356c1526-31,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1449452887.59,00:1d:73:de:a8:f3,private,0,0,[WPA-PSK-CCMP][ESS],-1,-1,2462,0,-90,0,0,0,1449452887562,1449452887.59,126472342653,True,112,7
324192,369927b9-5103-4f64-8d6c-a3bd356c1526-35,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1449453285.84,f4:ec:38:d6:c3:4c,Salita-Wifi,0,0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP-preauth][ESS],-1,-1,2412,0,-87,0,0,0,1449453285808,1449453285.84,126870582678,True,83,11
324224,369927b9-5103-4f64-8d6c-a3bd356c1526-36,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1449453285.84,90:f6:52:6b:06:76,TP-LINK_6B0676,0,0,[WPA2-PSK-CCMP][ESS],-1,-1,2422,0,-89,0,0,0,1449453285808,1449453285.84,126869317843,True,84,14
324256,369927b9-5103-4f64-8d6c-a3bd356c1526-37,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1449453285.84,b0:48:7a:e8:66:96,TP-LINK_E86696,0,0,[WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS],-1,-1,2412,0,-90,0,0,0,1449453285809,1449453285.84,126869317965,True,84,14
324288,369927b9-5103-4f64-8d6c-a3bd356c1526-38,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1449453285.84,c2:9f:db:e9:90:09,SHAMBALA_WIFI,0,0,[ESS],-1,-1,2412,0,-89,0,0,0,1449453285809,1449453285.84,126869317812,True,83,13
324352,369927b9-5103-4f64-8d6c-a3bd356c1526-40,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1449453285.84,00:18:25:10:f9:f1,PPPoE Basundhara Mini,0,0,[WPA2-PSK-CCMP][ESS],-1,-1,2447,0,-74,0,0,0,1449453285809,1449453285.84,126870582617,True,80,21
324384,369927b9-5103-4f64-8d6c-a3bd356c1526-41,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1449453285.84,00:18:25:10:f9:f5,Broadlink WIFI_Basundhara,0,0,[WPA2-PSK-CCMP][ESS],-1,-1,2447,0,-78,0,0,0,1449453285810,1449453285.84,126870582648,True,66,25
324448,369927b9-5103-4f64-8d6c-a3bd356c1526-43,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1449453285.84,54:e6:fc:b3:50:1d,Maskey,0,0,[WPS][ESS],-1,-1,2412,0,-92,0,0,0,1449453285810,1449453285.84,126870582678,True,77,6
324480,369927b9-5103-4f64-8d6c-a3bd356c1526-44,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1449453285.84,30:b5:c2:2d:fe:de,Shuva Adhikari Travels,0,0,[WPA2-PSK-CCMP][WPS][ESS],-1,-1,2427,0,-85,0,0,0,1449453285810,1449453285.84,126870582648,True,83,22
324544,369927b9-5103-4f64-8d6c-a3bd356c1526-46,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1449453285.85,f4:3e:61:5e:c1:23,Caravan,0,0,[WPA2-PSK-CCMP+TKIP][ESS],-1,-1,2452,0,-92,0,0,0,1449453285811,1449453285.85,126870582678,True,67,7
324736,369927b9-5103-4f64-8d6c-a3bd356c1526-52,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1449453487.71,a0:f3:c1:c3:38:ea,barapress,0,0,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],-1,-1,2412,0,-87,0,0,0,1449453487625,1449453487.71,127072382864,True,98,9
324768,369927b9-5103-4f64-8d6c-a3bd356c1526-53,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1449453487.71,f4:ec:38:aa:ad:09,ALLIANZA,0,0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-1,-1,2462,0,-87,0,0,0,1449453487626,1449453487.71,127068252456,True,65,8
324832,369927b9-5103-4f64-8d6c-a3bd356c1526-55,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1449453487.72,bc:96:80:14:b3:31,muldhar1,0,0,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],-1,-1,2412,0,-80,0,0,0,1449453487626,1449453487.72,127072382833,True,109,8
324864,369927b9-5103-4f64-8d6c-a3bd356c1526-56,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1449453487.76,bc:96:80:14:ac:85,Shrestha wifi,0,0,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],-1,-1,2412,0,-81,0,0,0,1449453487627,1449453487.76,127072382833,True,83,13
324896,369927b9-5103-4f64-8d6c-a3bd356c1526-57,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1449453487.76,a8:32:9a:00:6c:fe,Pandey1,0,0,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],-1,-1,2412,0,-87,0,0,0,1449453487627,1449453487.76,127072382894,True,80,7
324928,369927b9-5103-4f64-8d6c-a3bd356c1526-58,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1449453487.76,f4:ec:38:9c:85:2e,TP Link001,0,0,[WPA2-PSK-CCMP+TKIP-preauth][ESS],-1,-1,2412,0,-84,0,0,0,1449453487628,1449453487.76,127072382833,True,84,10
324960,369927b9-5103-4f64-8d6c-a3bd356c1526-59,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1449453487.77,c8:3a:35:47:3c:01,rupa,0,0,[WPA2-PSK-CCMP+TKIP][ESS],-1,-1,2412,0,-87,0,0,0,1449453487628,1449453487.77,127072382864,True,114,4
324992,369927b9-5103-4f64-8d6c-a3bd356c1526-60,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1449453487.78,64:70:02:c8:9e:d5,Helping,0,0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],-1,-1,2457,0,-90,0,0,0,1449453487628,1449453487.78,127072382925,True,72,7
325024,369927b9-5103-4f64-8d6c-a3bd356c1526-61,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1449453487.78,00:18:25:05:ac:61,Broadlink BSD Maharajgunj,0,0,[ESS],-1,-1,2437,0,-89,0,0,0,1449453487629,1449453487.78,127072382894,True,66,25
325120,369927b9-5103-4f64-8d6c-a3bd356c1526-64,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1449453787.25,ac:86:74:06:f6:d2,CPN_UML_PUBLIC,0,0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-1,-1,2432,0,-85,0,0,0,1449453787231,1449453787.25,127372001226,True,67,14
325216,369927b9-5103-4f64-8d6c-a3bd356c1526-67,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1449453787.25,ac:86:74:06:f6:d3,CPN_UML,0,0,[WPA2-PSK-CCMP][ESS],-1,-1,2432,0,-87,0,0,0,1449453787232,1449453787.25,127372001257,True,67,7
